Latitude,Longitude,N_850,Nol_850,Ce_850,R2_850,QA_850
-41.5,175.5,6,0,0.00225,0.757,0
-40.5,-73.5,6,0,0.0112,0.913,4
-40.5,-72.5,21,1,0.00205,0.393,2
-40.5,-71.5,8,0,0.00182,0.203,0
-40.5,-70.5,9,1,0.00368,0.866,1
-40.5,-69.5,6,0,0.0245,0.849,0
-40.5,-68.5,9,0,0.00669,0.236,0
-40.5,-67.5,12,1,0.0118,0.217,0
-40.5,-66.5,37,1,0.00997,0.649,0
-40.5,-65.5,20,1,0.00541,0.533,0
-40.5,-64.5,47,0,0.00424,0.629,1
-40.5,-63.5,9,1,0.0193,0.983,4
-40.5,-62.5,6,0,0.0137,0.386,3
-40.5,143.5,0,0,0.021,-9999,0
-40.5,144.5,35,1,0.00204,0.146,0
-40.5,145.5,48,1,0.00109,0.354,0
-40.5,146.5,0,0,0.0027,-9999,0
-40.5,147.5,34,0,0.00974,0.138,0
-40.5,148.5,37,0,0.000758,0.164,0
-40.5,172.5,0,0,0.00599,-9999,0
-40.5,175.5,9,0,0.00078,0.826,0
-40.5,176.5,0,0,0.00654,-9999,0
-39.5,-73.5,9,1,0.00186,0.329,1
-39.5,-72.5,15,0,0.00488,0.543,3
-39.5,-71.5,8,0,0.00535,0.821,2
-39.5,-70.5,12,0,0.00883,0.249,0
-39.5,-69.5,10,0,0.0344,0.49,1
-39.5,-68.5,18,1,0.0148,0.176,0
-39.5,-67.5,27,0,0.0309,0.468,1
-39.5,-66.5,8,2,0.00492,0.547,3
-39.5,-65.5,34,0,0.00731,0.472,3
-39.5,-64.5,21,0,0.0034,0.213,2
-39.5,-63.5,42,0,0.00121,0.166,2
-39.5,-62.5,17,0,0.0245,0.846,4
-39.5,143.5,15,0,0.00945,0.252,0
-39.5,144.5,12,0,0.00068,0.133,0
-39.5,146.5,0,0,0.0214,-9999,0
-39.5,147.5,0,0,0.0214,-9999,0
-39.5,148.5,0,0,0.022,-9999,0
-39.5,173.5,0,0,0.00879,-9999,0
-39.5,174.5,12,2,0.00148,0.222,0
-39.5,175.5,7,2,0.00721,0.735,1
-39.5,176.5,8,0,0.0154,0.755,0
-39.5,177.5,0,0,0.00691,-9999,0
-38.5,-73.5,10,0,0.0179,0.705,4
-38.5,-72.5,51,1,0.0053,0.594,3
-38.5,-71.5,31,1,0.00198,0.534,2
-38.5,-70.5,19,0,0.00745,0.563,3
-38.5,-69.5,45,0,0.00945,0.0502,2
-38.5,-68.5,143,0,0.0141,0.331,0
-38.5,-67.5,6,1,0.0269,0.586,3
-38.5,-66.5,44,0,0.00434,0.363,2
-38.5,-65.5,30,0,0.00448,0.242,1
-38.5,-64.5,67,2,0.0043,0.615,1
-38.5,-63.5,6,0,0.0378,0.502,3
-38.5,-62.5,7,0,0.0179,0.795,4
-38.5,-61.5,23,0,0.00419,0.219,1
